LarvaID,Sex,Surv_Eclose,Time_2nd,Mass_2nd,Time_Eclose,Mass_eclose,total_eggs
C10_L3,M,1,3,7.7,40,1598.1,NA
D6_L1,M,1,4,4.46,38,1183.7,NA
D2_L3,M,1,6,7.81,41,1630.2,NA
B6_L4,NA,1,3,6.68,36,1690.9,371
C7_L3,NA,1,3,6.53,35,1836.5,369
B11_L2,NA,0,3,8.23,NA,NA,NA
D8_L1,NA,0,4,11.1,NA,NA,NA
C12_L2,NA,0,3,9.11,NA,NA,NA
F4_L2,NA,0,3,6.86,NA,NA,NA
B6_L3,NA,0,3,6.6,NA,NA,NA
D5_L4,NA,0,3,6.31,NA,NA,NA
E6_L3,NA,0,4,3.74,NA,NA,NA
E4_L1,NA,0,5,14.26,NA,NA,NA
A8_L2,NA,0,3,6.87,NA,NA,NA
E3_L4,NA,0,3,5.01,NA,NA,NA
A9_L1,NA,0,3,9.01,NA,NA,NA
A9_L3,NA,0,3,7.15,NA,NA,NA
C3_L1,NA,0,2,14.58,NA,NA,NA
H10_L1,NA,0,4,15.02,NA,NA,NA
D6_L2,NA,0,2,5,NA,NA,NA
H6_L1,NA,0,3,8.16,NA,NA,NA
G10_L2,NA,0,4,7.29,NA,NA,NA
H12_L1,NA,0,3,6.03,NA,NA,NA
A12_L1,NA,0,4,6.97,NA,NA,NA
H1_L2,NA,0,4,9.46,NA,NA,NA
E2_L4,NA,0,3,8.75,NA,NA,NA
B11_L3,NA,0,3,7.14,NA,NA,NA
C6_L2,NA,0,3,8.07,NA,NA,NA
H4_L2,NA,0,2,6.88,NA,NA,NA
H11_L1,NA,0,4,7.6,NA,NA,NA
H11_L2,NA,0,2,9.43,NA,NA,NA
H11_L3,NA,0,3,6.9,NA,NA,NA
H5_L1,NA,0,3,6.48,NA,NA,NA
H5_L2,NA,0,3,5.92,NA,NA,NA
H5_L3,NA,0,4,9.28,NA,NA,NA
D8_L3,NA,0,4,8.76,NA,NA,NA
G4_L2,NA,0,3,7.93,NA,NA,NA
G4_L3,NA,0,2,7.3,NA,NA,NA
A12_L3,NA,0,4,7.47,NA,NA,NA
G10_L3,NA,0,4,6.75,NA,NA,NA
G5_L2,NA,0,4,6.83,NA,NA,NA
C12_L1,NA,0,3,11.93,NA,NA,NA
D5_L3,NA,0,3,7.43,NA,NA,NA
C8_L3,NA,0,5,6.21,NA,NA,NA
C8_L4,NA,0,5,5.62,NA,NA,NA
